Wavelength(nm),Flux
7248.6217975747895,943309.3058866663
7248.104895897119,919584.2380795722
7247.586420207393,917281.5199847298
7247.066370505614,889187.6136827569
7246.544746791781,909104.4940944498
7246.021549065895,877503.2874702596
7245.496777327953,899676.4191143829
7244.970431577958,866883.001362092
7244.44251181591,872849.8341377411
7243.913018041806,878086.7861633791
7243.381950255649,840087.9100148949
7242.8493084574375,850121.7584913889
7242.3150926471735,840209.1636854578
7241.779302824854,793580.842442052
7241.241938990481,823347.6292891201
7240.703001144054,804324.4116148758
7240.162489285573,795029.4324214584
7239.620403415039,793548.4971118289
7239.07674353245,784339.3669515753
7238.531509637806,779513.1881734391
7237.9847017311085,779750.6824422819
7237.436319812358,756218.5201061724
7236.886363881554,765568.8098236369
7236.334833938695,762884.4113781604
7235.781729983782,744772.317412567
7235.227052016814,737031.6238404715
7234.670800037793,747691.7715090539
7234.112974046718,717654.2472190068
7233.55357404359,728308.5717799474
7232.992600028407,716863.3293143245
7232.430052001169,711394.0740789709
7231.8659299618785,701378.6692410543
7231.300233910533,716769.5651207047
7230.732963847134,683983.2991534519
7230.164119771681,684507.2255949237
7229.5937016841735,708247.804457203
7229.021709584614,706385.0810402231
7228.448143472998,663048.9768689197
7227.873003349329,690313.9157605845
7227.2962892136065,655199.391637307
7226.718001065829,670725.5620843075
7226.138138905999,642220.2811099878
7225.556702734113,636553.1608510674
7224.973692550175,620561.0818651983
7224.389108354181,643953.2574564145
7223.802950146134,694462.8236884798
7223.215217926033,652652.3176666462
7222.625911693878,605648.9832712094
7222.035031449669,627116.3735799902
7221.442577193407,618721.1645835795
7220.848548925089,613685.3317109754
7220.252946644719,709033.9072956023
7219.655770352293,619164.8134943979
7219.057020047814,612141.0843076038
7218.456695731281,605788.258295727
7217.854797402694,581166.8971011637
7217.251325062053,592624.7732488784
7216.646278709359,579378.6602471023
7216.039658344609,601464.2180242478
7215.431463967807,573794.5830949558
7214.821695578949,593246.5688154572
7214.2103531780385,571642.3362070417
7213.597436765073,578737.7297983298
7212.982946340054,559799.2436032068
7212.366881902982,573105.6203273956
7211.7492434538535,551125.7047218579
7211.130030992673,572120.1152378792
7210.509244519438,556935.8560378283
7209.886884034149,558124.421650396
7209.262949536806,548029.7450895061
7208.637441027409,544978.6005542518
7208.010358505959,549440.2697970305
7207.381701972454,547481.0325597847
7206.751471426894,613767.6404882821
7206.119666869281,549685.0361619266
7205.486288299614,536186.268650262
7204.851335717894,540945.6386843999
7204.214809124119,542985.6828255241
7203.57670851829,538512.1833147476
7202.937033900406,531535.6444876745
7202.2957852704685,523735.86625583575
7201.652962628478,523119.6864906138
7201.008565974434,532592.4814113302
7200.362595308335,529567.2762321956
7199.715050630181,530381.5862264443
7199.065931939974,525622.4289483302
7198.415239237713,522632.441181152
7197.762972523398,520947.66562659125
7197.1091317970295,516301.6364154909
7196.453717058605,519671.9382567736
7195.796728308129,537090.2005095393
7195.138165545598,506781.0307231012
7194.478028771014,520505.7336752789
7193.816317984374,512382.56726995006
7193.153033185681,603522.6892994378
7192.488174374935,528513.1924333157
7191.821741552133,520427.50038153835
7191.153734717278,515300.40092767746
7190.484153870369,509207.35041854496
7189.812999011407,523363.9825478666
7189.1402701403895,503255.1448707237
7188.465967257318,516731.7312884681
7187.790090362193,515640.93368231656
7187.112639455014,517715.35464660166
7186.433614535781,516493.89451009274
7185.753015604495,512624.0036427194
7185.070842661154,506963.6725573868
7184.387095705758,498966.5415028424
7183.70177473831,506563.8093352216
7183.014879758805,518768.4011292986
7182.3264107672485,617501.2591571505
7181.636367763639,517597.722147803
7180.944750747974,516681.49863304343
7180.251559720255,550085.3453760445
7179.556794680481,515831.47259882337
7178.860455628655,521002.28428612166
7178.1625425647735,521547.27334033756
