Image,H-alpha,Na,H-beta,Optimal Shift
59,6646.119736340797,5929.606295310813,4873.498540991037,-39.99480657399865
60,6648.663017255925,5991.806090658716,4873.498540991037,-60.72375045621228
61,6647.392163804388,5937.469414404324,4905.587563363173,-55.39899250641543
62,6646.119736340797,6007.104197567052,4926.854323980277,-85.70672206006181
63,6646.119736340797,6007.104197567052,4868.128334426925,-62.81310332133866
64,6647.392163804388,5901.8870529647165,4878.862451506933,-33.54371311560293
65,6646.119736340797,6007.104197567052,4908.251417482499,-78.45450098512923
66,6649.932296695408,5931.574436102272,4913.574403684992,-57.35110457658687
67,6647.392163804388,5991.806090658716,4884.220065974613,-64.53687450102152
68,6644.845734865152,5787.925019954492,4800.4695233073,34.38336704631042
69,6648.663017255925,6007.104197567052,4916.233535768157,-82.30039345916953
70,6644.845734865152,6005.197443245699,4971.711712730147,-102.21163060349427
71,6649.932296695408,5937.469414404324,4900.255133088357,-54.05375085828018
72,6653.730690941533,6010.912984173597,4910.913697589773,-82.9132181623468
73,6656.2550837120125,5881.898712699596,4932.155274014013,-50.45141922527434
74,6654.9936743328,5804.507520698893,4902.922135231792,-13.814993744847175
75,6657.514919079172,5903.877229924932,4876.181283255011,-36.06093540860262
76,6658.773180434277,5883.9046297803525,4963.828757203893,-64.17086324984521
77,6656.2550837120125,5937.469414404324,4873.498540991037,-45.4501006625737
78,6658.773180434277,5907.852861809199,4881.5420457468,-39.79111136390786
79,6654.9936743328,6007.104197567052,4905.587563363173,-79.9782274077197
80,6652.466133538212,5787.925019954492,4926.854323980277,-17.08405252030443
81,6654.9936743328,6010.912984173597,4932.155274014013,-91.55941684944793
82,6658.773180434277,6010.912984173597,4889.571384394077,-76.05030090704716
83,6658.773180434277,5917.764396308925,4945.380103887408,-67.86331455816378
84,6660.029867777328,5804.507520698893,4963.828757203893,-39.01153249110912
85,6657.514919079172,5962.850623126271,4924.201487945327,-73.73756854525341
86,6660.029867777328,5955.069352659568,4940.094893974211,-78.15760484149422
87,6658.773180434277,5941.391529878757,4881.5420457468,-50.572521658447904
88,6657.514919079172,5913.804504545196,4932.155274014013,-61.07185300025187
89,6657.514919079172,5808.6374057644525,4900.255133088357,-14.830047942796053
90,6658.773180434277,5957.017031294325,4878.862451506933,-54.551250778342734
91,6654.9936743328,5798.300888010148,4789.552820829027,32.37426532559239
92,6658.773180434277,5879.891221606787,4945.380103887408,-55.68915308255239
93,6662.538520427268,5964.792005712812,4900.255133088357,-66.4772596898606
94,6663.790485734157,5953.120100012757,4816.797356663087,-30.55189603846808
95,6666.289694311772,5970.606709400112,4900.255133088357,-69.42786118197021
96,6663.790485734157,5810.699987279151,4940.094893974211,-32.83673458764416
97,6666.289694311772,5897.901977008124,4902.922135231792,-47.098028173777095
98,6665.040877028991,5917.764396308925,4905.587563363173,-54.16098827024759
99,6672.510170544867,5960.907666527677,4916.233535768157,-74.33635700774929
