Wavelength(A),Weight
3.456215621562156230e+03,1.659147035327179109e+00
3.456600660066006640e+03,1.659268821102224400e+00
3.456985698569857050e+03,1.659390606877269692e+00
3.457370737073707460e+03,1.659508929072613714e+00
3.457755775577557870e+03,1.659627117658058149e+00
3.458140814081408280e+03,1.659744621807579312e+00
3.458525852585258690e+03,1.659860938888546356e+00
3.458910891089109100e+03,1.659977255969513177e+00
3.459295929592959510e+03,1.660093640079634447e+00
3.459680968096809465e+03,1.660210044373255922e+00
3.460066006600659875e+03,1.660325553172721458e+00
3.460451045104510285e+03,1.660436733750433103e+00
3.460836083608360696e+03,1.660547914328144969e+00
3.461221122112211106e+03,1.660658821723109080e+00
3.461606160616061516e+03,1.660769526609469304e+00
3.461991199119911926e+03,1.660880231495829529e+00
3.462376237623762336e+03,1.660990050558418973e+00
3.462761276127612746e+03,1.661099848899984632e+00
3.463146314631463156e+03,1.661207647062196813e+00
3.463531353135313566e+03,1.661312181773884733e+00
3.463916391639163976e+03,1.661416716485572875e+00
3.464301430143014386e+03,1.661521312671602413e+00
3.464686468646864796e+03,1.661625925908909451e+00
3.465071507150715206e+03,1.661730029092504779e+00
3.465456545654565616e+03,1.661831895886748844e+00
3.465841584158416026e+03,1.661933762680992910e+00
3.466226622662266436e+03,1.662033260616213148e+00
3.466611661166116392e+03,1.662131102649979653e+00
3.466996699669966802e+03,1.662228944683746379e+00
3.467381738173817212e+03,1.662326859667862422e+00
3.467766776677667622e+03,1.662424775282673073e+00
3.468151815181518032e+03,1.662520693152994777e+00
3.468536853685368442e+03,1.662613542024536262e+00
3.468921892189218852e+03,1.662706390896077746e+00
3.469306930693069262e+03,1.662797180645687600e+00
3.469691969196919672e+03,1.662887446389357704e+00
3.470077007700770082e+03,1.662977725725035993e+00
3.470462046204620492e+03,1.663068059428746359e+00
3.470847084708470902e+03,1.663158393132456725e+00
3.471232123212321312e+03,1.663244139442397351e+00
3.471617161716171722e+03,1.663326863725162585e+00
3.472002200220022132e+03,1.663409584083523018e+00
3.472387238723872542e+03,1.663491621595442060e+00
3.472772277227722952e+03,1.663573659107361102e+00
3.473157315731573362e+03,1.663655151107568786e+00
3.473542354235423772e+03,1.663735853450963642e+00
3.473927392739273728e+03,1.663816555794358498e+00
3.474312431243124138e+03,1.663891477730133461e+00
3.474697469746974548e+03,1.663965056331743630e+00
3.475082508250824958e+03,1.664038646826413670e+00
3.475467546754675368e+03,1.664112280928971455e+00
3.475852585258525778e+03,1.664185915031529017e+00
3.476237623762376188e+03,1.664257305634011086e+00
3.476622662266226598e+03,1.664327304435520460e+00
3.477007700770077008e+03,1.664397200006132005e+00
3.477392739273927418e+03,1.664462037262752547e+00
3.477777777777777828e+03,1.664526874519372868e+00
3.478162816281628238e+03,1.664591732480211528e+00
3.478547854785478648e+03,1.664656618699510426e+00
3.478932893289329058e+03,1.664721504918809103e+00
3.479317931793179469e+03,1.664781751890410222e+00
3.479702970297029879e+03,1.664841019643638953e+00
3.480088008800880289e+03,1.664899647778419034e+00
3.480473047304730244e+03,1.664956117200934838e+00
3.480858085808580654e+03,1.665012586623450863e+00
3.481243124312431064e+03,1.665069083002890915e+00
3.481628162816281474e+03,1.665125595117368240e+00
3.482013201320131884e+03,1.665181860464933550e+00
3.482398239823982294e+03,1.665231175211147940e+00
3.482783278327832704e+03,1.665280489957362331e+00
3.483168316831683114e+03,1.665329536243129072e+00
3.483553355335533524e+03,1.665378236864136774e+00
3.483938393839383934e+03,1.665426937485144254e+00
3.484323432343234344e+03,1.665474710471925190e+00
3.484708470847084754e+03,1.665522306766472393e+00
3.485093509350935165e+03,1.665568550361751887e+00
3.485478547854785575e+03,1.665610576718138613e+00
3.485863586358635985e+03,1.665652603074525118e+00
3.486248624862486395e+03,1.665694649985865583e+00
3.486633663366336805e+03,1.665736708175145520e+00
3.487018701870187215e+03,1.665778659015561658e+00
3.487403740374037625e+03,1.665818507081175071e+00
3.487788778877887580e+03,1.665858355146788705e+00
3.488173817381737990e+03,1.665896822405046329e+00
3.488558855885588400e+03,1.665933611720188168e+00
3.488943894389438810e+03,1.665970401035329784e+00
3.489328932893289220e+03,1.666007214183154561e+00
3.489713971397139630e+03,1.666044031396085812e+00
3.490099009900990040e+03,1.666080150131777682e+00
3.490484048404840451e+03,1.666114251044332750e+00
3.490869086908690861e+03,1.666148351956887819e+00
3.491254125412541271e+03,1.666181587035591605e+00
3.491639163916391681e+03,1.666214376078675174e+00
3.492024202420242091e+03,1.666247166686439352e+00
3.492409240924092501e+03,1.666279980622171752e+00
3.492794279427942911e+03,1.666312794557904153e+00
3.493179317931793321e+03,1.666344306828283495e+00
3.493564356435643731e+03,1.666374325777061793e+00
3.493949394939494141e+03,1.666404344725840092e+00
3.494334433443344096e+03,1.666434181456992070e+00
3.494719471947194506e+03,1.666463990615740132e+00
3.495104510451044916e+03,1.666493684902104588e+00
3.495489548954895326e+03,1.666523070846807730e+00
3.495874587458745737e+03,1.666552456791511094e+00
3.496259625962596147e+03,1.666580442814236784e+00
3.496644664466446557e+03,1.666607752603465054e+00
3.497029702970296967e+03,1.666635063995131949e+00
3.497414741474147377e+03,1.666662394556716498e+00
3.497799779977997787e+03,1.666689725118301046e+00
3.498184818481848197e+03,1.666716685550436061e+00
3.498569856985698607e+03,1.666743245009001173e+00
3.498954895489549017e+03,1.666769804467566285e+00
3.499339933993399427e+03,1.666795442307137609e+00
3.499724972497249837e+03,1.666820957860693397e+00
3.500110011001100247e+03,1.666846478965618994e+00
3.500495049504950657e+03,1.666872013948968556e+00
3.500880088008801067e+03,1.666897548932318340e+00
3.501265126512651477e+03,1.666922027005428797e+00
3.501650165016501433e+03,1.666946027056895652e+00
3.502035203520351843e+03,1.666969961329599625e+00
3.502420242024202253e+03,1.666993241925847746e+00
3.502805280528052663e+03,1.667016522522095645e+00
3.503190319031903073e+03,1.667039811891011913e+00
3.503575357535753483e+03,1.667063110235432521e+00
3.503960396039603893e+03,1.667086408579853130e+00
3.504345434543454303e+03,1.667107803832283519e+00
3.504730473047304713e+03,1.667128980895823176e+00
3.505115511551155123e+03,1.667150114255220750e+00
3.505500550055005533e+03,1.667171145638286056e+00
3.505885588558855943e+03,1.667192177021351362e+00
3.506270627062706353e+03,1.667213053040794257e+00
3.506655665566556763e+03,1.667233863378055236e+00
3.507040704070407173e+03,1.667254562054089506e+00
3.507425742574257583e+03,1.667274316136504675e+00
3.507810781078107993e+03,1.667294070218919844e+00
3.508195819581958403e+03,1.667313831974894800e+00
3.508580858085808359e+03,1.667333601145770006e+00
3.508965896589658769e+03,1.667353370316645433e+00
3.509350935093509179e+03,1.667373120101590001e+00
3.509735973597359589e+03,1.667392868002635309e+00
3.510121012101209999e+03,1.667412605648528112e+00
3.510506050605060409e+03,1.667432320919542743e+00
3.510891089108910819e+03,1.667452036190557152e+00
3.511276127612761229e+03,1.667471762273280866e+00
3.511661166116611639e+03,1.667491492620384097e+00
3.512046204620462049e+03,1.667511226883383380e+00
3.512431243124312459e+03,1.667530989862954227e+00
3.512816281628162869e+03,1.667550752842525075e+00
3.513201320132013279e+03,1.667570527966504734e+00
3.513586358635863689e+03,1.667590314173087007e+00
3.513971397139714099e+03,1.667610100379669280e+00
3.514356435643564510e+03,1.667629900608700755e+00
3.514741474147414920e+03,1.667649701962990560e+00
3.515126512651265330e+03,1.667669713239422480e+00
3.515511551155115285e+03,1.667690153487188187e+00
3.515896589658965695e+03,1.667710593734953672e+00
3.516281628162816105e+03,1.667641223295667219e+00
3.516666666666666515e+03,1.667538875494728456e+00
3.517051705170516925e+03,1.667436527693789472e+00
3.517436743674367335e+03,1.667334179892850710e+00
3.517821782178217745e+03,1.667231832091911947e+00
3.518206820682068155e+03,1.667196278016259692e+00
3.518591859185918565e+03,1.667218280235800876e+00
3.518976897689768975e+03,1.667240282455342060e+00
3.519361936193619385e+03,1.667262300532728503e+00
3.519746974697469796e+03,1.667284319622317712e+00
3.520132013201320206e+03,1.667306685441452219e+00
3.520517051705170616e+03,1.667329715825548009e+00
3.520902090209021026e+03,1.667352746209643577e+00
3.521287128712871436e+03,1.667376740716704830e+00
3.521672167216721846e+03,1.667401063986003296e+00
3.522057205720572256e+03,1.667425390029304122e+00
3.522442244224422211e+03,1.667449731969773419e+00
3.522827282728272621e+03,1.667474073910242938e+00
3.523212321232123031e+03,1.667499595690032477e+00
3.523597359735973441e+03,1.667526077235486515e+00
3.523982398239823851e+03,1.667552558780940775e+00
3.524367436743674261e+03,1.667579970692070646e+00
3.524752475247524671e+03,1.667607427171616363e+00
3.525137513751375081e+03,1.667634891187090851e+00
3.525522552255225492e+03,1.667662368767236947e+00
3.525907590759075902e+03,1.667689846347383043e+00
3.526292629262926312e+03,1.667720078337226797e+00
3.526677667766776722e+03,1.667751180140659040e+00
3.527062706270627132e+03,1.667782322537794792e+00
3.527447744774477542e+03,1.667813673600810009e+00
3.527832783278327952e+03,1.667845024663825226e+00
3.528217821782178362e+03,1.667876837420949832e+00
